SID,surprise
1003,1.143445296
1003,1.33522719
1003,1.270937199
1003,1.34850606
1003,1.455729474
1003,1.366938981
1003,1.461561288
1003,1.489311933
1003,1.385693868
1003,1.357835591
1003,1.252254041
1003,1.177091638
1003,1.167680582
1003,1.147327781
1003,1.044540003
1003,1.014399328
1003,1.323625123
1003,1.392437886
1003,1.35517312
1003,1.392112004
1003,1.438452632
1003,1.391495244
1003,1.459198712
1003,1.468589625
1003,1.179738792
1003,1.335079922
1003,1.172177113
1003,1.388527035
1003,1.208962059
1003,1.333640949
1003,1.32998498
1003,1.297773608
1003,1.291405271
1003,1.373921098
1003,1.400202887
1003,1.232807765
1003,1.318383024
1003,1.29477608
1003,1.292585594
1003,1.31335456
1003,1.295777705
1003,1.288926768
1003,1.340752739
1003,1.387609322
1003,1.396256657
1003,1.108710876
1003,1.112052415
1003,1.190785932
1003,0.992612203
1003,1.030357847
1003,1.287494024
1003,1.244816312
1003,1.499106591
1003,1.593024561
1003,1.3729893
1003,1.384707481
1003,1.415659445
1003,1.156828835
1003,1.302336266
1003,1.056089773
1003,1.181571203
1003,1.304127239
1003,1.290064207
