SID,parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
1033,regression_beta_post_reversal,-0.0328,0.0099,0.0002,3528.218,4204.2299,1.0009,0.0297
1034,regression_beta_unexpected_uncertainty,0.3843,0.5402,0.011,2414.4813,3175.0985,1.0018,0.0162
1034,regression_noise,0.1542,0.0026,0,6257.4996,5090.3275,1.001,0.0419
1034,regression_beta_expected_uncertainty,-0.3272,0.388,0.0063,3840.8334,4376.5707,1.0007,0.0257
1034,regression_beta_post_error,0.105,0.0183,0.0002,5701.8751,4881.7427,1.0006,0.0382
1034,xprob_volatility,-5.6707,0.5495,0.0082,4680.5479,4095.5032,1.0028,0.0314
1034,regression_intercept,5.4343,0.2013,0.0042,2311.8025,3008.9141,1.002,0.0155
1034,regression_beta_surprise,0.2785,0.0774,0.0016,2368.5792,3073.1187,1.0011,0.0159
1034,regression_beta_post_reversal,0.0133,0.0083,0.0001,5157.294,5482.0365,1,0.0346
1036,regression_beta_unexpected_uncertainty,0.7852,0.5526,0.0115,2338.4353,2857.511,1,0.0168
1036,regression_noise,0.1614,0.0026,0,5786.2325,5143.1866,1.0008,0.0417
1036,regression_beta_expected_uncertainty,0.2954,0.435,0.0066,4297.3369,4789.7363,1.0006,0.031
1036,regression_beta_post_error,0.0152,0.0191,0.0002,5941.9444,5626.6658,1.0002,0.0428
1036,xprob_volatility,-5.2689,0.7163,0.0139,3273.3774,2585.1218,1.0019,0.0236
1036,regression_intercept,5.2328,0.2023,0.0043,2257.2974,2611.4332,1.0002,0.0163
1036,regression_beta_surprise,0.2272,0.0787,0.0016,2371.0325,2671.2051,1.0006,0.0171
1036,regression_beta_post_reversal,0.1137,0.0089,0.0001,3907.4529,5026.8483,1.0012,0.0282
1035,regression_beta_unexpected_uncertainty,0.8158,0.482,0.0103,2269.1986,2397.585,1.001,0.0189
1035,regression_noise,0.1582,0.0026,0,6083.2595,5332.2295,1.0002,0.0508
1035,regression_beta_expected_uncertainty,-0.1313,0.4916,0.009,2969.594,4376.2709,1.001,0.0248
1035,regression_beta_post_error,0.108,0.0178,0.0002,6896.4155,5488.6593,1.0008,0.0576
1035,xprob_volatility,-4.6479,0.6923,0.0131,2815.8018,4200.2301,1.0007,0.0235
1035,regression_intercept,5.194,0.1593,0.0033,2377.5534,2823.5808,1.0012,0.0198
1035,regression_beta_surprise,0.2266,0.0593,0.0012,2542.9702,3041.9991,1.0004,0.0212
1035,regression_beta_post_reversal,0.0288,0.0079,0.0001,5512.4086,5289.8626,1.0002,0.046
1037,regression_beta_unexpected_uncertainty,-2.5612,0.5002,0.0102,2414.7198,3278.9329,1.0006,0.0149
1037,regression_noise,0.127,0.0021,0,7417.0381,5094.816,1.0007,0.0457
1037,regression_beta_expected_uncertainty,-0.2488,0.2885,0.0049,3538.4256,4289.0271,1.0002,0.0218
1037,regression_beta_post_error,0.1502,0.0623,0.0007,6952.723,5314.3589,1.0009,0.0428
1037,xprob_volatility,-6.5021,0.3593,0.0053,4981.9628,3941.9894,1.0007,0.0307
1037,regression_intercept,6.8405,0.1873,0.0039,2308.6101,3082.845,1.0009,0.0142
1037,regression_beta_surprise,-0.3211,0.0692,0.0014,2306.8818,3187.8684,1.0009,0.0142
1037,regression_beta_post_reversal,0.0059,0.0072,0.0001,4786.5597,5181.2598,1.0004,0.0295
1038,regression_beta_unexpected_uncertainty,0.7959,0.4177,0.0084,2488.3875,3622.7499,1.0012,0.0232
1038,regression_noise,0.1771,0.0029,0,7773.51,5480.5132,1.0012,0.0724
1038,regression_beta_expected_uncertainty,-1.1142,0.475,0.0082,3430.247,4961.3233,1.0015,0.032
1038,regression_beta_post_error,0.0546,0.0218,0.0003,6809.3942,5328.3965,1.0006,0.0634
1038,xprob_volatility,-3.5254,0.5263,0.0097,3005.5298,3801.2859,1.0009,0.028
1038,regression_intercept,5.5432,0.1253,0.0024,2737.5732,2980.6493,1.0009,0.0255
1038,regression_beta_surprise,0.1955,0.0441,0.0008,3134.023,3499.8337,1.0003,0.0292
1038,regression_beta_post_reversal,-0.0194,0.0083,0.0001,6859.2565,4828.1446,1.0006,0.0639
1040,regression_beta_unexpected_uncertainty,0.5519,0.8474,0.0191,2081.8163,2345.8612,1.0007,0.0176
1040,regression_noise,0.3073,0.005,0.0001,6288.7006,5382.5611,1.0002,0.0532
1040,regression_beta_expected_uncertainty,0.8493,0.767,0.0116,4436.1995,4843.2797,1.0017,0.0375
1040,regression_beta_post_error,0.1869,0.0343,0.0005,5645.5844,4907.5381,1.0001,0.0477
1040,xprob_volatility,-4.355,0.7901,0.0153,2706.1009,3390.4238,1.0008,0.0229
1040,regression_intercept,5.3153,0.2931,0.0068,2013.1947,2231.936,1.0016,0.017
1040,regression_beta_surprise,0.1995,0.1132,0.0025,2128.6329,2324.2519,1.0007,0.018
1040,regression_beta_post_reversal,0.0044,0.0156,0.0002,4402.6956,4473.6512,1.0003,0.0372
1041,regression_beta_unexpected_uncertainty,0.4409,0.3958,0.0085,2654.7755,1625.1554,1.0016,0.026
1041,regression_noise,0.2002,0.0033,0,6328.7986,5387.5337,1,0.0619
1041,regression_beta_expected_uncertainty,0.6735,0.4277,0.0112,2685.2929,1147.6029,1.0015,0.0263
1041,regression_beta_post_error,0.0739,0.0265,0.0004,5547.9357,4328.6044,1.0006,0.0543
1041,xprob_volatility,-3.0358,0.5543,0.0151,2234.4353,1069.2213,1.001,0.0219
1041,regression_intercept,5.4527,0.1221,0.0026,2685.179,1752.4614,1.0017,0.0263
1041,regression_beta_surprise,0.101,0.074,0.0019,2071.0237,1097.3688,1.0029,0.0203
1041,regression_beta_post_reversal,0.0085,0.0096,0.0001,5235.7588,4632.6906,1.0008,0.0512
1043,regression_beta_unexpected_uncertainty,0.5114,0.4492,0.0082,3067.344,3574.8541,1.0008,0.0319
1043,regression_noise,0.212,0.0035,0,7041.3838,4369.7997,1.0006,0.0733
1043,regression_beta_expected_uncertainty,-0.0882,0.4614,0.0072,4085.5822,4375.2104,1.0009,0.0426
1043,regression_beta_post_error,0.1761,0.0435,0.0005,7070.9979,5293.9522,1.0001,0.0737
1043,xprob_volatility,-3.5114,0.76,0.0152,2516.6192,2655.109,1.001,0.0262
1043,regression_intercept,5.78,0.1419,0.0026,2990.0139,3492.7321,1.001,0.0311
1043,regression_beta_surprise,0.1125,0.0685,0.0015,2132.5514,2274.1193,1.002,0.0222
1043,regression_beta_post_reversal,-0.0527,0.01,0.0001,6845.6117,5011.0019,1.0012,0.0713
1044,regression_beta_unexpected_uncertainty,0.0947,0.739,0.0218,1194.1846,2746.2088,1.0013,0.008
