"","SID","Session","Block","Trial","Sequence","Stimt-2","Stimt-1","Stimt","RT","Response","Delay","post_reversal","Result","Trial_Number","Correct","log_RT","inverse_RT","post_error"
"118",1033,1,1,118,"High Prob","2","3","1",0.4459321,1,0.25,"0","Correct",118,1,-0.807588580704552,2.24249386846114,"0"
"119",1033,1,1,119,"High Prob","3","1","2",0.4373757,2,0.55,"0","Correct",119,1,-0.826962727838292,2.28636387435333,"0"
"120",1033,1,1,120,"High Prob","1","2","1",0.3187185,1,0.5,"0","Correct",120,1,-1.14344701092228,3.1375649672046,"0"
"121",1033,1,2,1,"High Prob","2","3","1",0.3456393,1,0.2,"0","Correct",121,1,-1.06235953323955,2.89318951866874,"0"
"122",1033,1,2,2,"High Prob","3","1","2",0.2809994,2,0.45,"0","Correct",122,1,-1.26940274488199,3.55872645991415,"0"
"123",1033,1,2,3,"High Prob","1","2","1",0.2490615,1,0.5,"0","Correct",123,1,-1.39005542506213,4.01507258247461,"0"
"124",1033,1,2,4,"High Prob","2","1","4",0.371755,4,0.25,"0","Correct",124,1,-0.989520243833196,2.68994364568062,"0"
"125",1033,1,2,5,"High Prob","1","4","3",0.3158369,3,0.6,"0","Correct",125,1,-1.15252933788144,3.16619115752466,"0"
"126",1033,1,2,6,"High Prob","4","3","2",0.4918807,2,0.45,"0","Correct",126,1,-0.709519071567575,2.03301328960457,"0"
"127",1033,1,2,7,"Low Prob","3","2","3",0.5252497,3,0.25,"0","Correct",127,1,-0.643881510413782,1.9038563943968,"0"
"128",1033,1,2,8,"High Prob","2","3","1",0.319331,1,0.6,"0","Correct",128,1,-1.14152709659543,3.13154689021736,"0"
"129",1033,1,2,9,"Low Prob","3","1","4",0.2873865,4,0.45,"0","Correct",129,1,-1.2469272793006,3.47963456877759,"0"
"130",1033,1,2,10,"High Prob","1","4","3",0.3947363,3,0.2,"0","Correct",130,1,-0.929537331958452,2.53333681244922,"0"
"131",1033,1,2,11,"High Prob","4","3","2",0.4981396,2,0.6,"0","Correct",131,1,-0.696874919955014,2.00746939211418,"0"
"132",1033,1,2,12,"High Prob","3","2","4",0.3668998,4,0.35,"0","Correct",132,1,-1.00266649272871,2.72553977952564,"0"
"133",1033,1,2,13,"High Prob","2","4","1",0.4489629,1,0.35,"0","Correct",133,1,-0.80081502271613,2.22735553427689,"0"
"134",1033,1,2,14,"High Prob","4","1","3",0.5235808,3,0.45,"0","Correct",134,1,-0.647063914831864,1.90992488647406,"0"
"135",1033,1,2,15,"High Prob","1","3","4",0.4156949,4,0.55,"0","Correct",135,1,-0.877803701261637,2.40561046094143,"0"
"136",1033,1,2,16,"High Prob","3","4","2",0.4177396,2,0.3,"0","Correct",136,1,-0.872897007088818,2.39383577712048,"0"
"137",1033,1,2,17,"High Prob","4","2","3",0.5058039,3,0.55,"0","Correct",137,1,-0.681606234218466,1.97705078984168,"0"
"138",1033,1,2,18,"Low Prob","2","3","4",0.3525387,4,0.5,"0","Correct",138,1,-1.04259487552195,2.83656801366772,"0"
"139",1033,1,2,19,"High Prob","3","4","2",0.5112827,2,0.45,"0","Correct",139,1,-0.67083261279034,1.9558651211942,"0"
"140",1033,1,2,20,"High Prob","4","2","3",0.4859832,3,0.5,"0","Correct",140,1,-0.721581223580361,2.05768429855188,"0"
"141",1033,1,2,21,"High Prob","2","3","1",0.5113688,1,0.45,"0","Correct",141,1,-0.670664226981091,1.95553580898952,"0"
"142",1033,1,2,22,"High Prob","3","1","2",0.482111,2,0.6,"0","Correct",142,1,-0.729580900987882,2.07421112565364,"0"
