Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
3	40	A	4	2	3	3.25E-01	4	5.50E-01
3	41	A	2	3	1	3.83E-01	1	2.00E-01
3	42	A	3	1	2	3.45E-01	2	4.50E-01
3	43	B	1	2	4	2.99E-01	4	5.50E-01
3	44	A	2	4	1	3.50E-01	1	4.50E-01
3	45	A	4	1	3	2.64E-01	3	3.00E-01
3	46	A	1	3	4	3.37E-01	4	3.50E-01
3	47	B	3	4	1	2.58E-01	1	6.00E-01
3	48	A	4	1	3	2.39E-01	3	5.00E-01
3	49	A	1	3	4	2.91E-01	4	6.00E-01
3	50	A	3	4	2	2.81E-01	2	2.50E-01
3	51	A	4	2	3	3.93E-01	3	4.50E-01
3	52	A	2	3	1	3.01E-01	1	3.00E-01
3	53	A	3	1	2	2.93E-01	2	5.50E-01
3	54	A	1	2	1	3.26E-01	1	3.00E-01
3	55	A	2	1	4	3.32E-01	4	3.00E-01
3	56	A	1	4	3	2.99E-01	3	5.50E-01
3	57	A	4	3	2	2.81E-01	2	2.00E-01
3	58	A	3	2	4	2.90E-01	4	6.00E-01
3	59	A	2	4	1	3.36E-01	1	4.50E-01
3	60	B	4	1	2	2.80E-01	3	5.00E-01
3	61	A	1	2	1	3.05E-01	1	4.50E-01
3	62	A	2	1	4	2.92E-01	4	5.50E-01
3	63	A	1	4	3	3.50E-01	3	5.50E-01
3	64	A	4	3	2	3.84E-01	2	4.50E-01
3	65	A	3	2	4	2.66E-01	4	6.00E-01
3	66	A	2	4	1	2.94E-01	1	3.50E-01
3	67	A	4	1	3	3.10E-01	3	3.50E-01
3	68	A	1	3	4	2.69E-01	4	5.50E-01
3	69	A	3	4	2	2.75E-01	2	2.50E-01
3	70	A	4	2	3	3.28E-01	3	6.00E-01
3	71	B	2	3	4	3.17E-01	4	5.00E-01
3	72	A	3	4	2	2.77E-01	2	3.00E-01
3	73	A	4	2	3	3.32E-01	3	5.50E-01
3	74	A	2	3	1	2.76E-01	1	5.50E-01
