,SID,Session,Block,Trial,Sequence,Stimt-2,Stimt-1,Stimt,RT,Response,Delay,Result,Trial_Number,Correct,log_RT,inverse_RT,post_error
185,1033,Baseline,2,65,Low Prob,3,2,3,0.4236241,4,0.35,Wrong,185,0,-0.858908774,2.360583357,0
186,1033,Baseline,2,66,High Prob,2,3,1,0.5136866,1,0.5,Correct,186,1,-0.666141927,1.946712256,0
187,1033,Baseline,2,67,High Prob,3,1,2,0.3244262,2,0.6,Correct,187,1,-1.125697196,3.082365111,0
188,1033,Baseline,2,68,High Prob,1,2,1,0.4004741,1,0.55,Correct,188,1,-0.915106184,2.497040383,0
189,1033,Baseline,2,69,Low Prob,2,1,3,0.4391523,3,0.6,Correct,189,1,-0.822909001,2.277114341,0
190,1033,Baseline,2,70,High Prob,1,3,4,0.4125622,4,0.6,Correct,190,1,-0.885368297,2.423876933,0
191,1033,Baseline,2,71,High Prob,3,4,2,0.3253317,2,0.55,Correct,191,1,-1.122910002,3.073785924,0
192,1033,Baseline,2,72,High Prob,4,2,3,0.4953681,3,0.2,Correct,192,1,-0.702454156,2.018700841,0
193,1033,Baseline,2,73,High Prob,2,3,1,0.4827443,1,0.2,Correct,193,1,-0.728268165,2.071490021,0
194,1033,Baseline,2,74,Low Prob,3,1,4,0.5481381,4,0.25,Correct,194,1,-0.601228016,1.824357767,0
195,1033,Baseline,2,75,High Prob,1,4,3,0.4029071,3,0.25,Correct,195,1,-0.909049265,2.481961723,0
196,1033,Baseline,2,76,High Prob,4,3,2,0.4375556,2,0.3,Correct,196,1,-0.826551496,2.285423841,0
197,1033,Baseline,2,77,Low Prob,3,2,3,0.4229911,3,0.3,Correct,197,1,-0.86040414,2.364115935,0
198,1033,Baseline,2,78,High Prob,2,3,1,0.2889881,1,0.5,Correct,198,1,-1.241369768,3.460350097,0
199,1033,Baseline,2,79,Low Prob,3,1,4,0.3383727,4,0.45,Correct,199,1,-1.083607328,2.955321159,0
200,1033,Baseline,2,80,High Prob,1,4,3,0.4757406,3,0.2,Correct,200,1,-0.742882531,2.10198583,0
201,1033,Baseline,2,81,High Prob,4,3,2,0.4858033,2,0.45,Correct,201,1,-0.72195147,2.058446289,0
202,1033,Baseline,2,82,High Prob,3,2,4,0.5072019,4,0.55,Correct,202,1,-0.67884613,1.971601447,0
203,1033,Baseline,2,83,High Prob,2,4,1,0.3039387,1,0.55,Correct,203,1,-1.190929243,3.290137123,0
204,1033,Baseline,2,84,High Prob,4,1,3,0.3706405,3,0.4,Correct,204,1,-0.992522689,2.69803219,0
205,1033,Baseline,2,85,High Prob,1,3,4,0.504682,4,0.25,Correct,205,1,-0.683826751,1.981445742,0
206,1033,Baseline,2,86,High Prob,3,4,2,0.4334164,2,0.45,Correct,206,1,-0.83605635,2.307250026,0
207,1033,Baseline,2,87,High Prob,4,2,3,0.4347822,3,0.3,Correct,207,1,-0.832910063,2.300002162,0
208,1033,Baseline,2,88,High Prob,2,3,1,0.5181381,1,0.25,Correct,208,1,-0.65751347,1.929987391,0
209,1033,Baseline,2,89,High Prob,3,1,2,0.4681806,2,0.3,Correct,209,1,-0.75890116,2.135927888,0
210,1033,Baseline,2,90,High Prob,1,2,1,0.4862937,1,0.25,Correct,210,1,-0.720942517,2.056370461,0
211,1033,Baseline,2,91,High Prob,2,1,4,0.4256715,4,0.6,Correct,211,1,-0.854087357,2.349229394,0
212,1033,Baseline,2,92,Low Prob,1,4,2,0.3977323,2,0.25,Correct,212,1,-0.921976113,2.514253934,0
213,1033,Baseline,2,93,High Prob,4,2,3,0.571102,3,0.45,Correct,213,1,-0.560187451,1.751000697,0
214,1033,Baseline,2,94,High Prob,2,3,1,0.3211623,1,0.45,Correct,214,1,-1.135808676,3.113690492,0
215,1033,Baseline,2,95,Low Prob,3,1,4,0.4912234,4,0.6,Correct,215,1,-0.710856265,2.03573364,0
216,1033,Baseline,2,96,Low Prob,1,4,2,0.3966114,2,0.25,Correct,216,1,-0.924798319,2.521359699,0
217,1033,Baseline,2,97,High Prob,4,2,3,0.3819852,3,0.35,Correct,217,1,-0.962373415,2.617902474,0
218,1033,Baseline,2,98,High Prob,2,3,1,0.2873674,1,0.35,Correct,218,1,-1.246993743,3.479865844,0
219,1033,Baseline,2,99,Low Prob,3,1,4,0.342743,4,0.3,Correct,219,1,-1.070774384,2.917637997,0
220,1033,Baseline,2,100,High Prob,1,4,3,0.4421249,3,0.35,Correct,220,1,-0.816162858,2.2618043,0
221,1033,Baseline,2,101,High Prob,4,3,2,0.4815235,2,0.55,Correct,221,1,-0.730800243,2.076741841,0
222,1033,Baseline,2,102,High Prob,3,2,4,0.4089173,4,0.5,Correct,222,1,-0.894242344,2.445482253,0
223,1033,Baseline,2,103,High Prob,2,4,1,0.293641,1,0.45,Correct,223,1,-1.225397346,3.405518984,0
224,1033,Baseline,2,104,High Prob,4,1,3,0.3250112,3,0.5,Correct,224,1,-1.123895636,3.076817045,0
225,1033,Baseline,2,105,High Prob,1,3,4,0.3910648,4,0.4,Correct,225,1,-0.938882004,2.557120968,0
226,1033,Baseline,2,106,High Prob,3,4,2,0.4404433,2,0.35,Correct,226,1,-0.819973559,2.270439805,0
227,1033,Baseline,2,107,High Prob,4,2,3,0.4078351,3,0.35,Correct,227,1,-0.896892353,2.451971397,0
