,SID,Session,Block,Trial,Sequence,t-2,t-1,t,RT,Response,Delay,Result,Trial_Number,Correct,cutoff,log_RT,inverse_RT,post_error
108,1005,Baseline,1,112,High Prob,3,2,4,0.3270895,4,0.4,Correct,112,1,0.553885676,-1.117521445,3.057267201,0
109,1005,Baseline,1,113,High Prob,2,4,1,0.395106,1,0.35,Correct,113,1,0.553885676,-0.928601196,2.530966374,0
110,1005,Baseline,1,114,High Prob,4,1,3,0.2665161,3,0.4,Correct,114,1,0.553885676,-1.322320624,3.75211854,0
111,1005,Baseline,1,115,High Prob,1,3,4,0.3705587,4,0.3,Correct,115,1,0.553885676,-0.992743412,2.698627775,0
112,1005,Baseline,1,116,High Prob,3,4,2,0.2505829,2,0.6,Correct,116,1,0.553885676,-1.383965475,3.990695295,0
113,1005,Baseline,1,117,High Prob,4,2,3,0.389319,3,0.25,Correct,117,1,0.553885676,-0.94335622,2.568587713,0
114,1005,Baseline,1,118,High Prob,2,3,1,0.2806515,1,0.3,Correct,118,1,0.553885676,-1.270641593,3.563137913,0
115,1005,Baseline,1,119,High Prob,3,1,2,0.3947066,2,0.45,Correct,119,1,0.553885676,-0.929612575,2.533527435,0
116,1005,Baseline,1,120,High Prob,1,2,1,0.3741626,1,0.5,Correct,120,1,0.553885676,-0.983064817,2.672634838,0
117,1005,Baseline,2,1,High Prob,2,3,1,0.3351786,1,0.55,Correct,121,1,0.553885676,-1.093091755,2.983484029,0
118,1005,Baseline,2,2,High Prob,3,1,2,0.296593,2,0.6,Correct,122,1,0.553885676,-1.21539445,3.37162374,0
119,1005,Baseline,2,3,High Prob,1,2,1,0.3399366,1,0.6,Correct,123,1,0.553885676,-1.078996149,2.941725016,0
120,1005,Baseline,2,4,High Prob,2,1,4,0.3693731,4,0.5,Correct,124,1,0.553885676,-0.995948035,2.70728973,0
121,1005,Baseline,2,5,High Prob,1,4,3,0.3593179,3,0.25,Correct,125,1,0.553885676,-1.023547767,2.783050886,0
122,1005,Baseline,2,6,High Prob,4,3,2,0.3480935,2,0.3,Correct,126,1,0.553885676,-1.055284157,2.872791362,0
123,1005,Baseline,2,7,Low Prob,3,2,3,0.4268019,3,0.45,Correct,127,1,0.581374264,-0.851435308,2.343007376,0
124,1005,Baseline,2,8,High Prob,2,3,1,0.3129043,1,0.4,Correct,128,1,0.553885676,-1.161857886,3.195865317,0
125,1005,Baseline,2,9,Low Prob,3,1,4,0.323586,4,0.6,Correct,129,1,0.581374264,-1.128290358,3.090368557,0
126,1005,Baseline,2,10,High Prob,1,4,3,0.3836651,3,0.55,Correct,130,1,0.553885676,-0.957985242,2.606439835,0
127,1005,Baseline,2,11,High Prob,4,3,2,0.399024,2,0.4,Correct,131,1,0.553885676,-0.918733714,2.50611492,0
